25/12/2017 18:47:27 下午	[Log]	Connected: 127.0.0.1:3341
25/12/2017 18:47:29 下午	[Log]	Connected: 127.0.0.1:3348
25/12/2017 18:47:43 下午	[Log]	Data Received
25/12/2017 18:47:43 下午	[Log]	Data Roomed
25/12/2017 18:47:43 下午	[Log]	Data Received
25/12/2017 18:47:43 下午	[Log]	Data Roomed
25/12/2017 18:47:43 下午	[Log]	Data Received
25/12/2017 18:47:43 下午	[Log]	Data Roomed
25/12/2017 18:47:44 下午	[Log]	Data Received
25/12/2017 18:47:44 下午	[Log]	Data Roomed
25/12/2017 18:47:53 下午	[Log]	Data Received
25/12/2017 18:47:53 下午	[Log]	Data Roomed
25/12/2017 18:47:59 下午	[Trace]	A connection was forcibly closed, error code: 10054
25/12/2017 18:47:59 下午	[Log]	Disconnected: 127.0.0.1:3348
25/12/2017 18:48:03 下午	[Trace]	A connection was forcibly closed, error code: 10054
25/12/2017 18:48:03 下午	[Log]	Disconnected: 127.0.0.1:3341
